city,country,latitude,longitude
Esperanza,Philippines,14.7342524,121.0702642
Ugbokpo,Nigeria,7.679352,7.9266015
Heby,Sweden,59.1631398,17.1921015
Balgarevo,Bulgaria,43.4018427,28.413371
Angers,France,48.8693156,2.3501981
Níkiti,Greece,40.2201203,23.6688433
Junbu,China,29.90568,97.408915
Shiyan,China,32.629398,110.798266
Ārifwāla,Pakistan,30.6377274,73.0947607
Sunagawa,Japan,38.5733981,139.8280167
Shunhe,China,34.800458,114.364875
Malati,Indonesia,-7.3790406,107.3198424
San Cristóbal Verapaz,Guatemala,15.3657777,-90.4792939
Cipicung,Indonesia,-6.9375866,108.5522531
El Aguacate,Mexico,18.855626,-98.189463
Kumanovo,Macedonia,42.142214,21.688555
Örnsköldsvik,Sweden,63.2945202,18.6699799
Áyios Vasílios,Greece,37.7937857,22.8003951
Chelgard,Iran,32.4626078,50.1292303
Kasba Tadla,Morocco,32.5958283,-6.2694608
Kinlough,Ireland,53.2121335,-6.1136478
Sergio Osmeña Sr,Philippines,8.3796569,123.4261608
Raci Kulon,Indonesia,-7.0031703,112.545369
Chacarita,Costa Rica,9.97788,-84.762933
Wodzisław Śląski,Poland,50.0072402,18.4458999
Promna,Poland,51.6984754,20.934244
Sakākā,Saudi Arabia,29.8780031,40.1043057
Duisburg,Germany,51.4758022,6.7112395
Mačkovec,Croatia,46.4244411,16.4312318
Ordem,Portugal,39.7433445,-8.942153
Sintung Timur,Indonesia,-8.6158919,116.221602
Lashio,Myanmar,22.9664576,97.7525352
Palmira,Cuba,22.2455315,-80.3936994
Bum Bum,Venezuela,8.2758676,-70.7659102
Mobile,United States,30.6758871,-88.1837629
Jombang,Indonesia,-7.5740867,112.28609
Ambanja,Madagascar,-13.6635336,48.4537424
Bang Na,Thailand,13.6741713,100.608395
Bandungsari,Indonesia,-7.0890676,108.7987084
Al Ma‘allā’,Yemen,12.78987,45.00244
Västerhaninge,Sweden,59.1575081,18.1350248
Kobiernice,Poland,49.8474143,19.2057487
Xiangxiang,China,27.734109,112.535036
Umbulan,Indonesia,-7.7687701,112.9386472
Nichinan,Japan,31.5612018,131.34858
Nueva Fuerza,Philippines,9.8240004,124.197998
Honglong,China,22.396428,114.109497
Zhongxing,China,30.920219,103.620536
Marantao,Philippines,14.499307,121.058178
Ganjur,Indonesia,-7.0954176,110.6909294
Riobamba,Ecuador,-1.6635508,-78.654646
Citatah Kaler,Indonesia,-6.859269,107.4702845
Patique,Philippines,10.237,122.8993
Praia da Barra,Portugal,40.638059,-8.7470806
Pak Phayun,Thailand,7.3293411,100.3385624
Dhalie,Yemen,13.7032564,44.7334536
Saidpur,Bangladesh,25.7829542,88.8982666
Jackson,United States,32.2539326,-90.2481337
Gibgos,Philippines,13.8503992,123.7585154
Kveda Chkhorots’q’u,Georgia,42.4938831,42.1102682
Petite Anse,Haiti,19.6300952,-73.1554281
Golacir,Indonesia,-4.083144,137.179103
Dakoro,Niger,14.5089177,6.7654595
Baratleke,Indonesia,-6.9506,112.9961
Vitoria-Gasteiz,Spain,42.8591137,-2.6844071
Xiangjiazhai,China,30.89205,121.770149
Lons-le-Saunier,France,46.6693059,5.5466073
Al Khānkah,Egypt,30.2182236,31.3579913
Wenquan,China,31.364042,108.520914
Maha Sarakham,Thailand,16.1991156,103.2839975
Liangchahe,China,27.88157,102.267712
Laâyoune / El Aaiún,Western Sahara,27.1252867,-13.1625005
Ust-Kamenogorsk,Kazakhstan,49.9749295,82.6017244
Jinhe,China,26.695419,101.841707
Vlissingen,Netherlands,51.4588944,3.5455371
Kabīrwāla,Pakistan,30.3364517,71.756132
Xinzheng,China,34.395562,113.740529
Salcedo,Dominican Republic,19.3947363,-70.5263459
Chigasaki,Japan,35.3372599,139.4046734
Russkiy,Russia,42.9895326,131.8411237
Vesele,Ukraine,46.9821813,35.1115128
